Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,16-10-2020,59,No,Male,(A) White - Irish,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 0 (Early childhood education),Yes,Universal credit (UC),Clerkenwell
No Outcome,03-08-2021,31,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Clerkenwell
No Outcome,03-03-2021,56,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
Pret A Manger,20-05-2021,36,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,06-03-2021,50,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Clerkenwell
No Outcome,05-08-2021,33,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,24-02-2021,35,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,08-06-2021,62,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,01-07-2021,32,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Buddhist,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Caledonian
No Outcome,01-09-2021,46,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Barnsbury
No Outcome,15-10-2020,37,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Buddhist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Barnsbury
No Outcome,12-04-2021,37,Blanks,Female,(C) Asian or Asian British - Chinese,Blanks,NULL,Buddhist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,31-03-2021,25,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,28-04-2021,18,Blanks,Male,(D) Black or Black British - Ghanaian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,14-08-2021,47,Blanks,Female,(C) Asian or Asian British - Chinese,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Mary's
Homedotcare,15-01-2019,34,No,Female,(D) Black or Black British - Other African,Yes,NULL,Other religion,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,St Mary's
No Outcome,20-05-2021,16,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,08-01-2021,53,Yes,Male,(D) Black or Black British - Other African,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),No,Not in receipt of benefits,St Mary's
No Outcome,20-05-2021,58,Blanks,Male,(A) White - Irish,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,St Mary's
No Outcome,26-04-2018,36,Yes,Female,(D) Black or Black British - Nigerian,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Blanks,Not in receipt of benefits,Canonbury
No Outcome,23-10-2019,63,No,Female,(A) White - Kurdish,No,NULL,Muslim,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Canonbury
No Outcome,12-06-2021,35,Blanks,Female,(B) Mixed - White and Black African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Canonbury
The Great Health Clininc,04-01-2018,49,Blanks,Not Known,Not Known,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Canonbury
Slaughter And May,04-01-2018,49,Blanks,Not Known,Not Known,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Canonbury
No Outcome,01-06-2021,41,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,21-01-2020,22,Yes,Female,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St Mary's
No Outcome,25-06-2020,50,Yes,Female,(A) White - Greek/ Greek Cypriot,No,NULL,Blanks,Blanks,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St Mary's
No Outcome,03-03-2021,57,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,23-04-2021,16,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,17-06-2021,31,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,26-04-2021,28,Blanks,Female,(A) White - Kurdish,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
Outsource Construction,09-06-2020,22,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 1 (Primary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,16-01-2020,51,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Clerkenwell
No Outcome,18-06-2021,32,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
Financial Reporting Council,07-02-2018,43,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,No response religion,No response to sexuality,ISCED Level 8 (Doctoral or equivalenmt level),Blanks,"Job seekers allowance (JSA), Housing Benefit, Months on benefits",Clerkenwell
No Outcome,21-04-2021,33,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,04-03-2019,41,No,Female,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Bunhill
No Outcome,11-09-2018,33,Yes,Male,(D) Black or Black British - Ghanaian,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Income support (IS), Income support (IS), Months on benefits, Months on benefits",Bunhill
No Outcome,27-05-2021,19,Blanks,Female,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,10-03-2021,54,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,06-05-2021,27,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,23-07-2019,53,No,Male,(D) Black or Black British - Caribbean,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Bunhill
No Outcome,05-07-2021,40,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Prefer not to say,NULL,Blanks,Blanks,Blanks,Yes,Universal credit (UC),Bunhill
No Outcome,06-11-2020,39,Yes,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,24-02-2021,27,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bush Hill Park
No Outcome,19-08-2021,39,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Lea Bridge
No Outcome,19-02-2021,50,Blanks,Female,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,East Ham South
No Outcome,08-07-2021,24,Blanks,Male,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Hackney Central
Caterlink,18-09-2019,39,Yes,Female,(D) Black or Black British - Ghanaian,No,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Other benefit,Shacklewell
No Outcome,29-03-2021,34,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,London Fields
No Outcome,04-06-2020,63,No,Female,(D) Black or Black British - Nigerian,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,London Fields
No Outcome,24-07-2021,17,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Holborn and Covent Garden
No Outcome,04-12-2018,60,No,Female,(A) White - British,Yes,NULL,Christian,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Clerkenwell
No Outcome,27-04-2021,47,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,14-05-2021,41,Yes,Female,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,31-05-2021,41,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,22-06-2021,50,Blanks,Male,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,29-01-2021,41,Yes,Female,(B) Mixed - White and Black African,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Bunhill
No Outcome,03-03-2021,41,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,18-06-2020,51,Yes,Female,(A) White - Turkish/ Turkish Cypriot,Yes,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Bunhill
No Outcome,21-08-2021,54,Blanks,Male,(C) Asian or Asian British - Indian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,18-03-2019,2,No,No response,(D) Black or Black British - Eritrean,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Bunhill
No Outcome,24-09-2020,37,Yes,Male,(A) White - British,No,NULL,Blanks,Blanks,ISCED Level 1 (Primary education),Yes,Universal credit (UC),Bunhill
No Outcome,23-06-2021,63,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Purley & Woodcote
No Outcome,31-08-2021,42,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Whitechapel
No Outcome,10-09-2020,28,No,Male,(E) Other Ethnic Groups - Arab,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Stepney Green
No Outcome,05-04-2021,26,Blanks,Female,(B) Mixed - Any other Mixed background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Prefer not to disclose benefits,Bethnal Green
Leap Confronting Conflict ,01-07-2021,20,No,Female,(D) Black or Black British - Other African,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,Universal credit (UC),Leyton
No Outcome,03-04-2021,61,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Manor Park
No Outcome,03-03-2021,21,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,No response to sexuality,ISCED Level 2 (Lower secondary education),Yes,NULL,Mile End
No Outcome,19-05-2021,50,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,William Morris
No Outcome,24-04-2021,43,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Lea Bridge
Homedotcare,10-06-2020,45,No,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,St Peter's
No Outcome,15-08-2021,22,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bromley South
No Outcome,24-08-2021,36,Blanks,Female,(D) Black or Black British - Ghanaian,No,NULL,Blanks,Heterosexual,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,Lea Bridge
No Outcome,02-04-2020,25,No,Female,(B) Mixed - Any other Mixed background,No,NULL,No religion / atheist,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Hackney Downs
No Outcome,21-07-2021,35,Blanks,Male,(C) Asian or Asian British - Indian,No,NULL,Blanks,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Lea Bridge
No Outcome,31-05-2021,56,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Springfield
No Outcome,21-06-2021,53,Blanks,Female,(C) Asian or Asian British - Pakistani,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Haggerston
No Outcome,07-07-2021,20,Blanks,Male,(D) Black or Black British - Caribbean,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Prefer not to disclose benefits,Haggerston
No Outcome,05-04-2021,41,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Blanks,Prefer not to disclose benefits,Bethnal Green
No Outcome,10-09-2020,19,No,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Portsoken
No Outcome,31-08-2021,44,Blanks,Female,(A) White - Any other White background,No,NULL,Blanks,No response to sexuality,ISCED Level 3 (Upper secondary education),No,NULL,Grove Green
No Outcome,28-08-2021,50,Blanks,Male,(E) Other Ethnic Group - Latin American,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Grove Green
Berkeley Homes (North East London) Ltd,20-01-2020,20,No,Male,(D) Black or Black British - Caribbean,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Manor Park
No Outcome,07-04-2021,0,Yes,Male,(D) Black or Black British - Any other Black background,Prefer not to say,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Prefer not to disclose benefits,Mile End
No Outcome,31-08-2021,51,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Stratford and New Town
No Outcome,07-12-2020,33,Yes,Male,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Hoe Street
No Outcome,25-02-2021,19,Blanks,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,Hoe Street
No Outcome,14-06-2021,16,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Wood Street
No Outcome,30-03-2020,28,No,Female,(D) Black or Black British - Nigerian,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Lea Bridge
No Outcome,07-07-2021,0,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,No response to sexuality,ISCED Level 3 (Upper secondary education),Yes,NULL,Springfield
No Outcome,31-08-2021,42,Blanks,Female,(A) White - Any other White background,Yes,NULL,Blanks,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,NULL,Lea Bridge
No Outcome,18-08-2021,42,Blanks,Male,(A) White - Kurdish,No,NULL,Blanks,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Universal credit (UC),Hackney Central
No Outcome,19-07-2021,55,Blanks,Male,(D) Black or Black British - Other African,No,NULL,Blanks,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Hackney Central
No Outcome,03-03-2021,29,Blanks,Female,(A) White - Any other White background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),No,NULL,Dalston
No Outcome,02-08-2021,55,Blanks,Female,(D) Black or Black British - Other African,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Hackney Wick
No Outcome,06-04-2021,22,Blanks,Male,(E) Other Ethnic Groups - Any other background,Prefer not to say,NULL,Blanks,Prefer not to say sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Prefer not to disclose benefits,Spitalfields & Banglatown
No Outcome,27-03-2021,54,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,Cann Hall
No Outcome,28-04-2021,24,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Bisexual,Blanks,Blanks,NULL,Mile End
No Outcome,23-08-2021,27,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Yes,NULL,Blanks,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,"Personal independence payment (PI), Universal credit (UC)",Lansbury
No Outcome,23-08-2021,35,Blanks,Female,(A) White - British,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,St Dunstan's
No Outcome,31-08-2021,34,Blanks,Female,(A) White - Any other White background,No,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),No,NULL,Canary Wharf
No Outcome,31-08-2021,33,Blanks,Female,(E) Other Ethnic Groups - Any other background,Prefer not to say,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),No,NULL,Poplar
No Outcome,06-03-2018,45,Yes,Male,(E) Other Ethnic Groups - Prefer not to say,No,NULL,No response religion,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Blanks,"Housing Benefit, Working Tax Credit, Months on benefits",Canning Town South
